Session_ID,Date,Start_Time,Charging_Station,Vehicle_Type,Purpose,User_Age,User_Gender,Energy_Consumed_kWh,Charging_Duration_Min,Charging_Cost_INR,Payment_Method,Day_of_Week,Hour,Peak_Hour,Energy_per_Min_kWh,Cost_per_kWh_INR,User_Age_Group,Charging_Duration_Group,Session_Month
59,19-02-2026,15:00,Ameerpet Charge Point,Scooter,Office Commute,55,Male,11.31,93,155.97,Card,Thursday,15,No,0.122,13.79,51+,Long (>90 min),February
60,20-02-2026,16:00,Uppal EV Hub,Car,Personal,37,Male,27.16,137,406.17,UPI,Friday,16,No,0.198,14.95,36-50,Long (>90 min),February
61,12-02-2026,12:00,Secunderabad Central,Scooter,Office Commute,25,Male,5.45,77,78.84,Cash,Thursday,12,No,0.071,14.47,18-25,Medium (46-90 min),February
62,08-03-2026,14:00,Secunderabad Central,Car,Office Commute,22,Male,31.86,71,388.45,Card,Sunday,14,No,0.449,12.19,18-25,Medium (46-90 min),March
63,01-01-2026,14:00,Uppal EV Hub,Scooter,Personal,44,Male,19.99,84,315.19,Wallet,Thursday,14,No,0.238,15.77,36-50,Medium (46-90 min),January
64,25-02-2026,18:00,Ameerpet Charge Point,Car,Ride Sharing,25,Female,14.02,54,185.79,Wallet,Wednesday,18,Yes,0.26,13.25,18-25,Medium (46-90 min),February
65,25-02-2026,14:00,Ameerpet Charge Point,Bike,Delivery,31,Male,10.01,34,161.38,Wallet,Wednesday,14,No,0.294,16.12,26-35,Short (45 min),February
66,18-01-2026,13:00,Uppal EV Hub,Bike,Delivery,45,Male,7.61,49,100.93,Card,Sunday,13,No,0.155,13.26,36-50,Medium (46-90 min),January
67,13-02-2026,12:00,Ameerpet Charge Point,Scooter,Ride Sharing,35,Male,12.01,65,186.34,Cash,Friday,12,No,0.185,15.52,26-35,Medium (46-90 min),February
68,09-02-2026,13:00,LB Nagar EV Station,Scooter,Ride Sharing,51,Male,8.39,62,117.33,UPI,Monday,13,No,0.135,13.98,51+,Medium (46-90 min),February
69,02-02-2026,06:00,Hitech City EV,Scooter,Ride Sharing,47,Male,9.94,92,124.09,Wallet,Monday,6,No,0.108,12.48,36-50,Long (>90 min),February
70,31-01-2026,13:00,Ameerpet Charge Point,Car,Personal,28,Female,15.7,120,212.66,Cash,Saturday,13,No,0.131,13.55,26-35,Long (>90 min),January
71,20-02-2026,18:00,Ameerpet Charge Point,Car,Office Commute,22,Male,29.66,68,431.58,UPI,Friday,18,Yes,0.436,14.55,18-25,Medium (46-90 min),February
72,20-01-2026,12:00,LB Nagar EV Station,Scooter,Personal,28,Female,14.6,49,227.25,Card,Tuesday,12,No,0.298,15.57,26-35,Medium (46-90 min),January
73,19-02-2026,13:00,Ameerpet Charge Point,Bike,Office Commute,19,Male,13.43,35,161.37,UPI,Thursday,13,No,0.384,12.02,18-25,Short (45 min),February
74,16-03-2026,14:00,Uppal EV Hub,Bike,Ride Sharing,31,Female,18.09,99,239.35,Wallet,Monday,14,No,0.183,13.23,26-35,Long (>90 min),March
75,04-02-2026,19:00,Kukatpally Charge Hub,Car,Office Commute,54,Male,13.59,52,176.44,UPI,Wednesday,19,Yes,0.261,12.98,51+,Medium (46-90 min),February
76,24-03-2026,16:00,Kukatpally Charge Hub,Bike,Personal,35,Female,9.82,57,140.02,Wallet,Tuesday,16,No,0.172,14.26,26-35,Medium (46-90 min),March
77,07-02-2026,14:00,Uppal EV Hub,Scooter,Ride Sharing,19,Male,13.97,92,220,Wallet,Saturday,14,No,0.152,15.75,18-25,Long (>90 min),February
78,11-03-2026,20:00,Hitech City EV,Bike,Ride Sharing,46,Male,9.36,80,144.56,UPI,Wednesday,20,Yes,0.117,15.44,36-50,Medium (46-90 min),March
79,07-02-2026,17:00,Uppal EV Hub,Car,Office Commute,39,Female,37.69,86,622.98,Card,Saturday,17,Yes,0.438,16.53,36-50,Medium (46-90 min),February
80,07-02-2026,14:00,Hitech City EV,Scooter,Personal,46,Male,11.68,61,168.86,UPI,Saturday,14,No,0.191,14.46,36-50,Medium (46-90 min),February
81,02-01-2026,07:00,Ameerpet Charge Point,Bike,Office Commute,22,Female,13.74,96,193.18,Card,Friday,7,No,0.143,14.06,18-25,Long (>90 min),January
82,13-03-2026,13:00,Ameerpet Charge Point,Scooter,Personal,35,Male,14.68,26,253.05,Cash,Friday,13,No,0.565,17.24,26-35,Short (45 min),March
83,09-03-2026,17:00,Uppal EV Hub,Scooter,Personal,26,Male,15.38,80,270.71,Card,Monday,17,Yes,0.192,17.6,26-35,Medium (46-90 min),March
84,11-01-2026,13:00,LB Nagar EV Station,Scooter,Office Commute,40,Female,21.71,90,328.13,Cash,Sunday,13,No,0.241,15.11,36-50,Medium (46-90 min),January
85,15-01-2026,13:00,Hitech City EV,Scooter,Ride Sharing,43,Male,9.37,54,142.63,Wallet,Thursday,13,No,0.174,15.22,36-50,Medium (46-90 min),January
86,07-02-2026,13:00,Uppal EV Hub,Scooter,Personal,41,Male,17.01,37,207.61,UPI,Saturday,13,No,0.46,12.21,36-50,Short (45 min),February
87,18-02-2026,17:00,Ameerpet Charge Point,Scooter,Delivery,24,Other,7.18,59,110.2,Card,Wednesday,17,Yes,0.122,15.35,18-25,Medium (46-90 min),February
88,04-03-2026,22:00,Kukatpally Charge Hub,Bike,Personal,36,Male,14.31,60,225.42,UPI,Wednesday,22,No,0.239,15.75,36-50,Medium (46-90 min),March
89,30-01-2026,18:00,Secunderabad Central,Bike,Personal,19,Male,8.59,61,128.65,Wallet,Friday,18,Yes,0.141,14.98,18-25,Medium (46-90 min),January
90,04-03-2026,10:00,Secunderabad Central,Scooter,Office Commute,27,Female,4.43,64,74.52,Wallet,Wednesday,10,No,0.069,16.82,26-35,Medium (46-90 min),March
91,01-02-2026,16:00,Secunderabad Central,Bike,Office Commute,25,Male,3.51,84,45.94,UPI,Sunday,16,No,0.042,13.09,18-25,Medium (46-90 min),February
92,08-01-2026,10:00,LB Nagar EV Station,Scooter,Ride Sharing,21,Female,16.72,35,241.45,Wallet,Thursday,10,No,0.478,14.44,18-25,Short (45 min),January
93,17-02-2026,10:00,Kukatpally Charge Hub,Bike,Office Commute,36,Male,16.98,56,294.74,Wallet,Tuesday,10,No,0.303,17.36,36-50,Medium (46-90 min),February
94,10-03-2026,13:00,Hitech City EV,Scooter,Ride Sharing,54,Male,10.21,66,149.3,Cash,Tuesday,13,No,0.155,14.62,51+,Medium (46-90 min),March
95,27-03-2026,17:00,Secunderabad Central,Scooter,Ride Sharing,49,Male,13.75,26,187.16,Cash,Friday,17,Yes,0.529,13.61,36-50,Short (45 min),March
96,07-03-2026,15:00,Secunderabad Central,Scooter,Personal,43,Male,5.65,37,77,Wallet,Saturday,15,No,0.153,13.63,36-50,Short (45 min),March
97,11-03-2026,19:00,LB Nagar EV Station,Scooter,Office Commute,54,Female,13.95,87,184.73,Card,Wednesday,19,Yes,0.16,13.24,51+,Medium (46-90 min),March
98,27-03-2026,10:00,Ameerpet Charge Point,Car,Personal,24,Male,40.84,123,589.15,Card,Friday,10,No,0.332,14.43,18-25,Long (>90 min),March
99,15-02-2026,08:00,Secunderabad Central,Scooter,Office Commute,43,Male,17.02,87,248.92,Cash,Sunday,8,No,0.196,14.63,36-50,Medium (46-90 min),February
100,28-02-2026,12:00,LB Nagar EV Station,Bike,Office Commute,50,Male,12.04,65,156.25,Cash,Saturday,12,No,0.185,12.98,36-50,Medium (46-90 min),February
101,22-03-2026,14:00,Ameerpet Charge Point,Bike,Personal,26,Male,9.35,79,140.01,Wallet,Sunday,14,No,0.118,14.97,26-35,Medium (46-90 min),March
102,11-02-2026,14:00,Hitech City EV,Scooter,Delivery,47,Male,4.48,32,62.18,Wallet,Wednesday,14,No,0.14,13.88,36-50,Short (45 min),February
103,18-02-2026,10:00,Hitech City EV,Car,Personal,41,Female,26.72,102,442.3,UPI,Wednesday,10,No,0.262,16.55,36-50,Long (>90 min),February
104,21-03-2026,18:00,Secunderabad Central,Scooter,Business,43,Male,12.3,77,215.87,Wallet,Saturday,18,Yes,0.16,17.55,36-50,Medium (46-90 min),March
105,26-01-2026,15:00,Kukatpally Charge Hub,Car,Delivery,25,Other,13.12,134,194.77,Card,Monday,15,No,0.098,14.85,18-25,Long (>90 min),January
106,08-02-2026,13:00,LB Nagar EV Station,Bike,Personal,52,Male,15.25,61,263.91,Wallet,Sunday,13,No,0.25,17.31,51+,Medium (46-90 min),February
107,09-02-2026,13:00,Uppal EV Hub,Scooter,Personal,39,Male,13.88,71,240.28,Card,Monday,13,No,0.195,17.31,36-50,Medium (46-90 min),February
108,07-03-2026,08:00,Kukatpally Charge Hub,Car,Personal,49,Female,12.7,42,153.15,UPI,Saturday,8,No,0.302,12.06,36-50,Short (45 min),March
109,03-03-2026,10:00,Hitech City EV,Scooter,Business,27,Male,12.12,50,183.37,UPI,Tuesday,10,No,0.242,15.13,26-35,Medium (46-90 min),March
110,18-02-2026,10:00,Hitech City EV,Scooter,Delivery,54,Male,8.46,26,151.61,UPI,Wednesday,10,No,0.325,17.92,51+,Short (45 min),February
111,15-01-2026,13:00,Ameerpet Charge Point,Bike,Ride Sharing,54,Male,7.15,56,123.46,Card,Thursday,13,No,0.128,17.27,51+,Medium (46-90 min),January
112,29-03-2026,14:00,Hitech City EV,Bike,Office Commute,25,Female,6.17,73,96.6,UPI,Sunday,14,No,0.085,15.66,18-25,Medium (46-90 min),March
113,15-03-2026,08:00,Ameerpet Charge Point,Scooter,Delivery,23,Female,3.7,72,49.17,UPI,Sunday,8,No,0.051,13.29,18-25,Medium (46-90 min),March
114,20-01-2026,22:00,Ameerpet Charge Point,Scooter,Personal,34,Male,10.53,86,140.52,Cash,Tuesday,22,No,0.122,13.34,26-35,Medium (46-90 min),January
115,30-03-2026,15:00,Uppal EV Hub,Bike,Personal,45,Male,4.74,28,81.09,Card,Monday,15,No,0.169,17.11,36-50,Short (45 min),March
116,09-01-2026,12:00,Ameerpet Charge Point,Car,Personal,32,Male,36.26,108,445.76,Card,Friday,12,No,0.336,12.29,26-35,Long (>90 min),January
117,11-03-2026,20:00,Kukatpally Charge Hub,Scooter,Ride Sharing,49,Male,20,92,308.48,Cash,Wednesday,20,Yes,0.217,15.42,36-50,Long (>90 min),March
118,09-02-2026,14:00,Secunderabad Central,Scooter,Ride Sharing,45,Female,19.69,90,320.03,Wallet,Monday,14,No,0.219,16.25,36-50,Medium (46-90 min),February
119,14-02-2026,16:00,LB Nagar EV Station,Bike,Office Commute,22,Female,14.75,90,179.63,Wallet,Saturday,16,No,0.164,12.18,18-25,Medium (46-90 min),February
120,11-02-2026,10:00,Ameerpet Charge Point,Scooter,Ride Sharing,31,Female,17.13,44,225.37,UPI,Wednesday,10,No,0.389,13.16,26-35,Short (45 min),February
121,15-02-2026,12:00,Ameerpet Charge Point,Bike,Delivery,41,Female,5.2,34,71.25,Wallet,Sunday,12,No,0.153,13.7,36-50,Short (45 min),February
122,15-03-2026,13:00,LB Nagar EV Station,Car,Delivery,39,Female,24.94,107,309.44,Wallet,Sunday,13,No,0.233,12.41,36-50,Long (>90 min),March
123,05-03-2026,16:00,Uppal EV Hub,Scooter,Office Commute,35,Female,14.06,98,250.48,Cash,Thursday,16,No,0.143,17.82,26-35,Long (>90 min),March
124,21-02-2026,17:00,LB Nagar EV Station,Scooter,Office Commute,49,Female,3.42,76,50.2,Card,Saturday,17,Yes,0.045,14.68,36-50,Medium (46-90 min),February
125,29-01-2026,20:00,Kukatpally Charge Hub,Scooter,Delivery,49,Male,19.23,76,306.28,Wallet,Thursday,20,Yes,0.253,15.93,36-50,Medium (46-90 min),January
126,08-03-2026,20:00,Kukatpally Charge Hub,Scooter,Business,54,Female,11.21,54,153.02,Wallet,Sunday,20,Yes,0.208,13.65,51+,Medium (46-90 min),March
127,01-01-2026,12:00,Secunderabad Central,Car,Office Commute,42,Female,36.61,94,542.94,Wallet,Thursday,12,No,0.389,14.83,36-50,Long (>90 min),January
128,13-03-2026,11:00,Secunderabad Central,Scooter,Ride Sharing,24,Female,4.73,34,57.71,Cash,Friday,11,No,0.139,12.2,18-25,Short (45 min),March
129,03-01-2026,11:00,Uppal EV Hub,Bike,Personal,37,Male,3.02,40,45.2,Wallet,Saturday,11,No,0.076,14.97,36-50,Short (45 min),January
130,27-03-2026,15:00,Secunderabad Central,Scooter,Business,34,Male,18.15,30,260.59,Card,Friday,15,No,0.605,14.36,26-35,Short (45 min),March
131,07-02-2026,12:00,LB Nagar EV Station,Bike,Business,28,Male,19.34,32,260.2,UPI,Saturday,12,No,0.604,13.45,26-35,Short (45 min),February
132,15-02-2026,10:00,Hitech City EV,Bike,Office Commute,49,Female,14.74,30,224.2,UPI,Sunday,10,No,0.491,15.21,36-50,Short (45 min),February
133,18-03-2026,09:00,Ameerpet Charge Point,Car,Business,43,Female,23.81,119,314.28,Wallet,Wednesday,9,No,0.2,13.2,36-50,Long (>90 min),March
134,13-02-2026,10:00,LB Nagar EV Station,Bike,Personal,26,Male,16.42,65,266.95,Cash,Friday,10,No,0.253,16.26,26-35,Medium (46-90 min),February
135,13-03-2026,16:00,Secunderabad Central,Car,Personal,28,Female,23.2,92,392.2,Card,Friday,16,No,0.252,16.91,26-35,Long (>90 min),March
136,03-01-2026,08:00,Ameerpet Charge Point,Scooter,Office Commute,40,Female,11.33,60,177.87,Wallet,Saturday,8,No,0.189,15.7,36-50,Medium (46-90 min),January
137,24-02-2026,14:00,Kukatpally Charge Hub,Car,Delivery,35,Male,40.77,103,570.54,Cash,Tuesday,14,No,0.396,13.99,26-35,Long (>90 min),February
138,28-02-2026,15:00,Kukatpally Charge Hub,Scooter,Personal,32,Male,15.92,59,274.05,Wallet,Saturday,15,No,0.27,17.21,26-35,Medium (46-90 min),February
139,27-02-2026,16:00,Hitech City EV,Scooter,Delivery,41,Male,9.57,63,148.65,Card,Friday,16,No,0.152,15.53,36-50,Medium (46-90 min),February
140,07-03-2026,15:00,Secunderabad Central,Car,Personal,29,Male,33.62,83,572,UPI,Saturday,15,No,0.405,17.01,26-35,Medium (46-90 min),March
141,26-01-2026,16:00,Hitech City EV,Car,Office Commute,19,Male,17.93,124,268.11,Card,Monday,16,No,0.145,14.95,18-25,Long (>90 min),January
142,01-03-2026,13:00,Hitech City EV,Bike,Personal,23,Female,14.01,48,201.65,Wallet,Sunday,13,No,0.292,14.39,18-25,Medium (46-90 min),March
143,05-01-2026,12:00,Kukatpally Charge Hub,Car,Office Commute,48,Male,16.32,42,212.45,Card,Monday,12,No,0.389,13.02,36-50,Short (45 min),January
144,10-01-2026,16:00,Secunderabad Central,Scooter,Business,37,Male,11.54,70,163.17,Cash,Saturday,16,No,0.165,14.14,36-50,Medium (46-90 min),January
145,06-02-2026,17:00,LB Nagar EV Station,Car,Office Commute,37,Male,26.73,40,405.95,Cash,Friday,17,Yes,0.668,15.19,36-50,Short (45 min),February
146,26-01-2026,08:00,Kukatpally Charge Hub,Scooter,Office Commute,50,Male,11.59,28,149.42,UPI,Monday,8,No,0.414,12.89,36-50,Short (45 min),January
147,29-03-2026,16:00,Kukatpally Charge Hub,Scooter,Ride Sharing,48,Male,9.14,64,128.46,Card,Sunday,16,No,0.143,14.05,36-50,Medium (46-90 min),March
148,25-03-2026,10:00,Ameerpet Charge Point,Scooter,Office Commute,25,Other,5.73,32,91.84,Cash,Wednesday,10,No,0.179,16.03,18-25,Short (45 min),March
149,05-01-2026,20:00,Ameerpet Charge Point,Scooter,Office Commute,47,Male,15.57,71,268.03,Cash,Monday,20,Yes,0.219,17.21,36-50,Medium (46-90 min),January
150,17-03-2026,10:00,Uppal EV Hub,Car,Office Commute,33,Female,42.32,105,654.34,Card,Tuesday,10,No,0.403,15.46,26-35,Long (>90 min),March
151,07-03-2026,22:00,Uppal EV Hub,Scooter,Business,30,Female,21.57,67,354.35,Cash,Saturday,22,No,0.322,16.43,26-35,Medium (46-90 min),March
152,04-01-2026,16:00,Uppal EV Hub,Car,Office Commute,28,Male,37.16,66,590.56,UPI,Sunday,16,No,0.563,15.89,26-35,Medium (46-90 min),January
153,15-01-2026,15:00,Secunderabad Central,Bike,Personal,42,Male,13.71,65,201.01,Card,Thursday,15,No,0.211,14.66,36-50,Medium (46-90 min),January
154,31-03-2026,15:00,Ameerpet Charge Point,Scooter,Personal,20,Male,15.21,96,259.81,Cash,Tuesday,15,No,0.158,17.08,18-25,Long (>90 min),March
155,26-01-2026,10:00,Hitech City EV,Scooter,Personal,40,Female,13.01,78,230.63,UPI,Monday,10,No,0.167,17.73,36-50,Medium (46-90 min),January
156,21-01-2026,11:00,Hitech City EV,Scooter,Business,53,Female,15.3,29,269.42,Card,Wednesday,11,No,0.528,17.61,51+,Short (45 min),January
157,19-01-2026,10:00,Hitech City EV,Bike,Delivery,46,Female,7.88,65,109.26,Cash,Monday,10,No,0.121,13.87,36-50,Medium (46-90 min),January
158,30-01-2026,16:00,Uppal EV Hub,Scooter,Personal,24,Female,10.86,38,164.5,Wallet,Friday,16,No,0.286,15.15,18-25,Short (45 min),January
159,04-03-2026,10:00,Hitech City EV,Bike,Personal,24,Female,7.87,53,119.37,Wallet,Wednesday,10,No,0.148,15.17,18-25,Medium (46-90 min),March
160,13-01-2026,15:00,Uppal EV Hub,Car,Ride Sharing,32,Male,41.18,78,701.65,Cash,Tuesday,15,No,0.528,17.04,26-35,Medium (46-90 min),January
161,24-01-2026,13:00,Ameerpet Charge Point,Scooter,Delivery,53,Male,17.83,75,224.18,Cash,Saturday,13,No,0.238,12.57,51+,Medium (46-90 min),January
162,15-03-2026,13:00,Secunderabad Central,Bike,Ride Sharing,50,Male,6.19,32,75.19,Wallet,Sunday,13,No,0.193,12.15,36-50,Short (45 min),March
